CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
348	Dmitrij Djachkov	1	1	Falling	-ну-л	FALSE	NA	0.7	0.7	COP
349	Dmitrij Djachkov	1	1	Continuing	-ӈ	FALSE	NA	0	2.1	PH
350	Dmitrij Djachkov	0.5	5	Falling	-млэ-бэд-эк	FALSE	NA	0.2	0	PH
351	Dmitrij Djachkov	0	3	Falling	-гэ	FALSE	NA	0.5	1.6	PH
352	Dmitrij Djachkov	1	3	Falling	-т	TRUE	FULL	0.5	1.6	PH
353	Dmitrij Djachkov	1	3	Continuing	-дэ-гэ	FALSE	NA	1.2	0	COP
354	Dmitrij Djachkov	1	2	Continuing	-дэ-гэ	FALSE	NA	0	0	COP
355	Dmitrij Djachkov	1	2	Continuing	-т	FALSE	NA	0.3	0	COP
356	Dmitrij Djachkov	1	2	Continuing	NA	TRUE	FULL	0	0	PH
357	Dmitrij Djachkov	1	1	Continuing	-к	TRUE	PARTIAL	0	0	PH
358	Dmitrij Djachkov	1	1	Continuing	-ӈ	FALSE	NA	0.2	0.4	PH
359	Dmitrij Djachkov	1	1	Continuing	-к	FALSE	NA	0.3	0.8	PH
360	Dmitrij Djachkov	1	1	Continuing	-м	FALSE	NA	0.7	1.5	PH
361	Anna Shadrina	1	1	Continuing	-лэк	TRUE	FULL	0.2	0	PH
362	Anna Shadrina	1	1	Truncated	-гэ	FALSE	NA	0	0	PH
363	Anna Shadrina	1	1	Continuing	-лэк	FALSE	NA	0.8	0.4	PH
364	Anna Shadrina	1	3	Continuing	-лэ	TRUE	FULL	0	1.2	PH
365	Anna Shadrina	1	1	Continuing	-лэк	FALSE	NA	0.6	0.5	PH
366	Anna Shadrina	1	1	Continuing	-л	TRUE	FULL	1.3	0	PH
367	Anna Shadrina	1	1	Truncated	-лэк	FALSE	NA	1.3	0.5	PH
368	Fevron'ja Shalugina	0	2	Continuing	-ӈ	FALSE	NA	2.2	0.2	PH
369	Fevron'ja Shalugina	1	1	Continuing	-гэ	FALSE	NA	0	0	PH
